description,RO
Procédure de consignation non appliquée avant maintenance / Lockout procedure not applied before maintenance,RO1
Le conducteur a dépassé la limite de vitesse / Driver exceeded speed limit on site road,RO2
Flexibles mal rangés : risque de chute / Hoses poorly stored: fall risk,RO3
Absence de signalisation / Missing signage,RO4
Permis de travail manquant / Work permit missing,RO5
Déversement d’huile / Oil spilled,RO6
Panne d’éclairage / Lighting failure,RO7
Entrée sans certificat espace confiné / Entering tank without confined space entry certificate,RO8
Zone d’excavation non balisée / Excavation area not barricaded,RO9
Travail en hauteur sans harnais / Working at height without harness,RO10
Essai de pression sans barrières / Pressure test without barriers,RO11
Ligne de tir non respectée / Line of fire not respected,RO12
