
Date,SACS ID N°,Description,Règles d'or attribué
2025-10-01,SACS-001,Travail en hauteur sans ligne de vie,RO10
2025-10-03,SACS-002,Circulation de véhicule sans balisage,RO2
2025-10-10,SACS-003,Port des EPI non conforme,RO4
2025-10-15,SACS-004,Situation à haut risque non balisée,RO1
2025-10-20,SACS-005,Utilisation d'outil inadapté,RO3
2025-10-25,SACS-006,Travail sans permis requis,RO5
2025-11-01,SACS-007,Manoeuvre de levage sans élingue certifiée,RO6
2025-11-05,SACS-008,Intervention sur système sous tension,RO7
2025-11-10,SACS-009,Entrée en espace confiné sans ventilation,RO8
2025-11-15,SACS-010,Excavation sans blindage,RO9
2025-11-20,SACS-011,Travail en hauteur sans garde-corps,RO10
2025-11-25,SACS-012,Soudure non protégée point chaud,RO11
2025-11-30,SACS-013,Positionnement en ligne de tir,RO12
2025-12-05,SACS-014,Port des EPI incomplet,RO4
2025-12-10,SACS-015,Circulation piéton véhicule non séparée,RO2
2025-12-15,SACS-016,Outil manuel défectueux,RO3
2025-12-20,SACS-017,Permis de travail expiré,RO5
2025-12-25,SACS-018,Levage avec angle de sangle dangereux,RO6
2025-12-28,SACS-019,Coupure électrique non maîtrisée,RO7
2025-12-29,SACS-020,Accès espace confiné sans surveillant,RO8
2025-12-30,SACS-021,Zone à haut risque sans contrôle d'accès,RO1
2025-12-31,SACS-022,Excavation proche réseau enterré non détecté,RO9
